QB,RB,RB,WR,WR,WR,TE,FLEX,D,PROJ
Lamar Jackson,Dalvin Cook,Austin Ekeler,Michael Thomas,Mike Evans,Marquise Brown,Elijah McGuire,Daniel Brown,New England Patriots,149.54
Lamar Jackson,Dalvin Cook,David Johnson,Chris Godwin,DJ Chark Jr.,Christian Kirk,Elijah McGuire,Austin Hooper,New England Patriots,149.52
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Chark Jr.,Terry McLaurin,Marquise Brown,Tevin Coleman,Daniel Brown,New England Patriots,149.53
Lamar Jackson,Dalvin Cook,Austin Ekeler,DJ Chark Jr.,A.J. Green,Marvin Jones Jr.,David Johnson,Austin Hooper,San Francisco 49ers,149.52
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Golden Tate,Marquise Brown,David Johnson,Austin Hooper,San Francisco 49ers,149.5
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Mike Evans,Marvin Jones Jr.,Derrick Willies,David Johnson,Daniel Brown,New England Patriots,149.49
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Christian Kirk,Jaron Brown,David Johnson,Austin Hooper,New England Patriots,149.49
Lamar Jackson,Dalvin Cook,David Johnson,Mike Evans,DJ Chark Jr.,A.J. Green,Elijah McGuire,Austin Hooper,New England Patriots,149.49
Lamar Jackson,Christian McCaffrey,Austin Ekeler,Marvin Jones Jr.,Golden Tate,Sterling Shepard,David Johnson,Daniel Brown,New England Patriots,149.49
Lamar Jackson,Christian McCaffrey,Dalvin Cook,DJ Chark Jr.,A.J. Green,Derrick Willies,Elijah McGuire,Daniel Brown,New England Patriots,149.48
Lamar Jackson,Dalvin Cook,Austin Ekeler,Chris Godwin,Tyler Lockett,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,149.46
Lamar Jackson,Dalvin Cook,Austin Ekeler,John Brown,Marvin Jones Jr.,Terry McLaurin,David Johnson,Austin Hooper,New England Patriots,149.45
Lamar Jackson,Christian McCaffrey,Austin Ekeler,DJ Moore,Golden Tate,Marquise Brown,David Johnson,Daniel Brown,New England Patriots,149.47
Lamar Jackson,Dalvin Cook,Aaron Jones,A.J. Green,Golden Tate,Christian Kirk,Austin Ekeler,Daniel Brown,New England Patriots,149.45
Lamar Jackson,Christian McCaffrey,David Johnson,DJ Chark Jr.,Christian Kirk,Marquise Brown,Elijah McGuire,Austin Hooper,New England Patriots,149.44
