Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40934-79972,WR,Chad,Chad Williams,Williams,3.25,10,4500,TEN@IND,IND,TEN,,,,,
40934-70603,RB,Devin,Devin Singletary,Singletary,10.97500038,8,6600,BUF@DAL,BUF,DAL,,,,,
40934-14362,TE,Charles,Charles Clay,Clay,2.127272693,11,4500,LAR@ARI,ARI,LAR,,,,,
40934-52795,TE,Charles,Charles Jones,Jones,0,0,4000,TB@JAC,JAC,TB,,,,,
40934-56925,TE,Charles,Charles Scarff,Scarff,0,0,4000,SF@BAL,BAL,SF,,,,,
40934-63589,QB,Sam,Sam Darnold,Darnold,17.04999924,8,7600,NYJ@CIN,NYJ,CIN,,,,,
40934-24920,RB,Devonta,Devonta Freeman,Freeman,10.92222256,9,6200,NO@ATL,ATL,NO,,,,,
40934-14225,QB,Andy,Andy Dalton,Dalton,16.95999908,8,6000,NYJ@CIN,CIN,NYJ,,,,,
40934-70372,WR,Chester,Chester Rogers,Rogers,3.770000076,10,5200,TEN@IND,IND,TEN,,,,,
40934-12527,D,Chicago,Chicago Bears,Bears,7.909090909,11,5000,CHI@DET,CHI,DET,,,,,
40934-63806,RB,Kerryon,Kerryon Johnson,Johnson,10.65000025,6,4500,CHI@DET,DET,CHI,IR,Knee,,Dan Vitale,0
40934-30403,WR,Chris,Chris Conley,Conley,7.936363914,11,6000,TB@JAC,JAC,TB,,,,,
40934-55635,WR,Chris,Chris Godwin,Godwin,18.08181763,11,8200,TB@JAC,TB,JAC,,,,,
40934-55336,TE,Chris,Chris Herndon,Herndon,1.200000048,1,4500,NYJ@CIN,NYJ,CIN,IR,Ribs,,Daniel Jones,11.2
40934-14704,WR,Chris,Chris Hogan,Hogan,0.975000024,4,4500,WAS@CAR,CAR,WAS,IR,Knee,,Danny Amendola,4.7
40934-55750,WR,Chris,Chris Lacy,Lacy,0,1,4500,CHI@DET,DET,CHI,,,,,
40934-18009,TE,Chris,Chris Manhertz,Manhertz,4.066666603,3,4000,WAS@CAR,CAR,WAS,,,,,
40934-33047,WR,Chris,Chris Moore,Moore,0.899999976,4,4600,SF@BAL,BAL,SF,,,,,
40934-56947,TE,Chris,Chris Myarick,Myarick,0,0,4000,PHI@MIA,MIA,PHI,,,,,
40934-45631,RB,Jamaal,Jamaal Williams,Williams,10.56999969,10,5600,GB@NYG,GB,NYG,,,,,
40934-56580,WR,Christian,Christian Blake,Blake,1.966666698,3,4500,NO@ATL,ATL,NO,,,,,
40934-60858,WR,Christian,Christian Kirk,Kirk,12.30000019,8,6100,LAR@ARI,ARI,LAR,,,,,
40934-45229,RB,Kareem,Kareem Hunt,Hunt,10.43333308,3,5900,CLE@PIT,CLE,PIT,,,,,
40934-83202,TE,Christian,Christian Scotland-Williamson,Scotland-Williamson,0,0,4000,CLE@PIT,PIT,CLE,,,,,
40934-34331,RB,Latavius,Latavius Murray,Murray,10.19999972,11,6200,NO@ATL,NO,ATL,,,,,
40934-52442,RB,Joe,Joe Mixon,Mixon,10.1181821,11,6500,NYJ@CIN,CIN,NYJ,,,,,
40934-12528,D,Cincinnati,Cincinnati Bengals,Bengals,3.272727273,11,3500,NYJ@CIN,CIN,NYJ,,,,,
40934-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,16.84909058,11,8000,SF@BAL,SF,BAL,,,,,
40934-12529,D,Cleveland,Cleveland Browns,Browns,6.818181818,11,4600,CLE@PIT,CLE,PIT,,,,,
40934-31524,WR,Cody,Cody Core,Core,4.300000191,1,4500,GB@NYG,NYG,GB,,,,,
40934-53913,WR,Cody,Cody Hollister,Hollister,0,0,4500,TEN@IND,TEN,IND,,,,,
40934-61798,QB,Gardner,Gardner Minshew II,Minshew II,16.76666599,9,6000,TB@JAC,JAC,TB,,,,,
40934-27771,WR,Cody,Cody Latimer,Latimer,3.5,9,4600,GB@NYG,NYG,GB,,,,,
40934-55414,WR,Cody,Cody Thompson,Thompson,0,0,4500,NYJ@CIN,CIN,NYJ,,,,,
40934-22288,WR,Cole,Cole Beasley,Beasley,9.363636364,11,5800,BUF@DAL,BUF,DAL,,,,,
40934-62127,TE,Cole,Cole Hikutini,Hikutini,0,0,4000,BUF@DAL,DAL,BUF,,,,,
40934-63519,QB,Daniel,Daniel Jones,Jones,16.48600006,10,7400,GB@NYG,NYG,GB,,,,,
40934-79970,WR,Cooper,Cooper Kupp,Kupp,13.80909035,11,7800,LAR@ARI,LAR,ARI,,,,,
